,specialname,playcount,collectcount,publishtime,username
336,80后情歌 | 时光沉淀，深情不及久伴,237161,159,2021-07-23,天帝炎炎
337,经典闽南曲：岁月尘封的碎心恋情,563752,314,2021-07-23,知若
338,粤语老歌：回味过去的岁月深情,719755,235,2021-07-23,知若
339,车载老歌：拾光之路，永远相随,395908,332,2021-07-23,曲中人
340,怀旧金曲：追忆青春，聆听影视经典,159224,211,2021-07-23,苏执小念
341,华语经典：怀恋铅笔卷磁带的岁月,599228,437,2021-07-23,星云LQ
342,经典旧歌磁带：独人悠扬坐长谈,362303,225,2021-07-23,LovelyKley
343,欧美女嗓丨醇厚正宗，清脆悦耳。,11940,27,2021-07-23,Sooner
344,经典留声机：炙热年代的纯真记忆,1405112,412,2021-07-22,知若
345,经典倒带：追忆曾经的似水年华,305699,126,2021-07-22,知若
346,时光穿梭机丨解读90后的青葱岁月,276419,148,2021-07-22,娄小珉
347,温润年华：情丝万缕的粤语对唱,437318,184,2021-07-21,知若
348,醉熏闽南语 | 思念成诗的婉转情故,521220,286,2021-07-21,LovelyKley
349,经典鉴赏：悠悠岁月，落人间遗珠,192972,153,2021-07-21,LovelyKley
350,耳边响起的歌声，诉说着韶华已逝,1027701,320,2021-07-21,云鹤归
351,情歌金曲：有位佳人，在水一方,3940723,2082,2021-07-20,感觉
352,岁月流逝｜70后对于爱情的理解,1447068,1037,2021-07-20,醉狼
353,苦情闽南曲：岁月承载的虐心回忆,1625297,842,2021-07-20,知若
354,华语留声机：岁月翩翩的旧事前尘,956531,449,2021-07-20,知若
355,经典老歌｜把回忆酿成烈酒入喉,4961163,1199,2021-07-20,我是小虾
356,经典国语｜岁月留痕 老歌入耳,369723,146,2021-07-20,予茕兔桃想
357,时光旅程：追忆往昔青涩岁月,185990,97,2021-07-20,糖糖4835
358,95后小学生·藏在记忆深处的旋律,1296036,1139,2021-07-19,jio哥
359,经典情歌：卡带里的校园记忆,1027230,316,2021-07-19,知若
360,夏日经典辑 | 齁甜流年，愿岁月静好,73987,37,2021-07-19,LovelyKley
361,经典怀旧曲：歌词本里的青涩记忆,12758692,2755,2021-07-19,知若
362,粤语老情歌：红尘来去一场梦,953199,284,2021-07-19,知若
363,华语怀旧：时光编织的青春倒带,2074749,496,2021-07-19,Yamballs
364,经典怀旧 | 故事的结局 彼此安好,160783,59,2021-07-18,心雪
365,粤语老唱片：梦回磁带里的千禧年华,1317921,412,2021-07-17,LovelyKley
366,经典老情歌：MP3里的校园情愫,4477477,1502,2021-07-16,知若
367,倒带KTV：哼着老歌重温青春时光,883817,402,2021-07-16,知若
368,经典老歌来相会，感慨青春岁月,2695327,1037,2021-07-16,知若
369,年代经典：怀念旧时光，重择不朽经典,2812343,691,2021-07-16,愫墨
370,怀旧国语丨这些歌，听着听着就红了眼眶,3237537,1411,2021-07-16,空即是色
371,情系经典：记忆里挥之不去的音符,769072,326,2021-07-16,随我转
372,粤语老情歌：致回忆里的青涩故事,1083841,375,2021-07-16,知若
373,「怀旧记忆」沉浸心中的旋律，倒带回到过去,315727,129,2021-07-16,霏霏
374,经典台剧OST：重温那些年的爱情剧本,3118883,4213,2021-07-15,知若
375,经典珍藏馆：搁浅青春记忆的那些歌,1275382,431,2021-07-15,知若
376,往事回放机：穿梭时光，重拾青春,186149,108,2021-07-15,轩宝
377,细品质感港乐的经典旋律,343162,305,2021-07-14,日照影山
378,80男女对唱 | 夜风无意作情歌,641327,534,2021-07-14,老二
379,时光经典：许多逝去之物，都曾冠以爱的名义,75146,96,2021-07-14,甸子
380,苦情闽南曲：孤独深处的岁月回声,366903,197,2021-07-14,知若
381,老歌时光机：带你回望悠悠岁月,6396035,2323,2021-07-14,夏让
382,粤语情歌金曲:情至深处，渐入心底,2649686,1271,2021-07-14,笨鸟不飞
383,华语流行丨陪伴时光的经典留声机,7713,8,2021-07-14,我是火车人
384,就是这些歌里，有我们回不去的青春,1018819,306,2021-07-13,李呀
385,嘻哈复古潮•带你重温美国说唱的黄金年代,9536,77,2021-07-13,莫笃-Joe
386,打包经典情歌，一键收藏回忆,270261,272,2021-07-13,溺水的鱼
387,【经典国语男声】流金岁月，繁花似锦,102281,59,2021-07-13,禁欲
388,聆听90后：故事已决定好，谁是谁的主角,1491220,643,2021-07-13,HCT黄楚涛
389,怀旧欧美：沉淀情绪的经典金曲,16917,20,2021-07-13,我是火车人
390,欧美经典节奏：骚年秧歌必备,87949,113,2021-07-13,jio哥
391,情歌珍藏馆：沧桑年华的经典对唱,951817,378,2021-07-12,知若
392,经典节奏：旋转跳跃我闭着眼,142150,163,2021-07-12,jio哥
393,经典收藏 | 听再多也不厌的粤语老歌,3380699,1311,2021-07-12,安宁
394,粤语靓歌：一起走过的友情岁月,300233,144,2021-07-12,妙曼红唇
395,「经典老歌」只想用我的爱把你留住,6125308,691,2021-07-12,莫言
396,青春回忆杀｜最好的时光最好的歌,1819370,925,2021-07-11,李呀
397,经典土情歌｜淳朴民风，乡村爱恋,511683,609,2021-07-10,Wede
398,劲歌舞曲｜动感节奏，开启记忆旅行,5536012,7585,2021-07-10,Wede
399,粤语经典｜忆一段年华，聆听当年曲,884639,432,2021-07-10,Wede
400,摇滚乐队丨时代经典，传奇永不落幕,8635,25,2021-07-10,娄小珉
401,怀旧精选集：炙热年代里的回忆,4316064,1776,2021-07-09,混沌
402,国语经典｜那些年，你的歌词本里住了谁,10269711,3297,2021-07-09,梯田网络
403,闽南老歌：旧曲重听，漫步经典中,1812815,1088,2021-07-09,蔓若
404,粤听粤有味：宁愿同渡流浪旅程,143256,78,2021-07-09,口香糖
405,倒带KTV｜唱出谁的孤单心事,2822327,1793,2021-07-09,YDS
406,经典情歌｜打翻回忆再来一遍青春,6140082,2679,2021-07-09,你的美
407,寻味经典：时光的远去，显得历久弥新,58524,43,2021-07-09,梦醒繁花落
408,【迪士尼动画BGM】你的专属童年回忆,9570,63,2021-07-09,我是火车人
409,车载欧美 | 让经典旋律开启时光之旅,190870,271,2021-07-08,我和你
410,千禧怀旧 | 岁月无恒，唯有经典永恒,685742,303,2021-07-08,草莓啵啵子
411,【致敬经典】红极一时的华语组合,114059,19,2021-07-08,仙女不讲李
412,热血青春｜用骄傲单挑，篮球不会辜负你,84152,107,2021-07-07,跟着感觉走
413,王家卫的电影世界：别具一格的文艺情调,23249,58,2021-07-07,神雕侠
414,非主流时代｜属于90后的回忆杀,1044717,838,2021-07-07,梦雅丶
415,专属回忆：点播90后的学生时代,406747,233,2021-07-07,示申
416,【复古情调】让我们走进留声机的岁月,310154,648,2021-07-07,嗳耗子
417,情迷粤语 | 当年相恋意中人，旧欢如梦难忘怀,713955,428,2021-07-07,风少
418,粤语回忆厅 | 细品经典老歌，追忆往昔年华,242321,139,2021-07-07,甜甜圈
419,华语经典｜回顾过往，倾听青春典藏,289886,119,2021-07-07,玖九9丶
420,粤语经典｜少年仍未老，岁月忽已暮,111147,65,2021-07-07,细嗅蔷薇
421,老情歌：流年有你，追忆往昔岁月,1543765,586,2021-07-07,浅色夏末
422,经典重放：那些必学的国语歌,12962615,3998,2021-07-06,真爱永恒
423,青春倒带 | 刻在骨子里的经典国语,1749594,967,2021-07-06,流浪人
424,粤语经典｜重温旧时光里的优美旋律,175382,182,2021-07-06,THeS1_ky
425,青春拾忆｜旧曲重听，犹似当年醉里声,1319634,397,2021-07-06,THeS1_ky
426,『滚石』史上最伟大艺术家·100,874768,1922,2021-07-06,Cinderella
427,经典7080 | 光影流转，重温记忆港湾,17989605,7806,2021-07-05,是心动啊_
428,港风拾忆：时光易逝，重温旧时珍贵,210009,185,2021-07-05,苏执小念
429,80后经典：卡带机里的久听不厌,6910122,3470,2021-07-05,花开又花开
430,粤语老歌丨回味经典，重温那些年的美好,7155079,2626,2021-07-04,梦了好久
431,重温经典丨梦醒繁华，留作回忆,420134,208,2021-07-04,如风
432,回忆杀｜隐藏在歌曲里的青春,838133,491,2021-07-04,李呀
433,致青春｜懵懂的年纪，这些歌治愈了多少人,1693806,1149,2021-07-04,李呀
434,经典粤语：回忆粤来粤远的青春,1164780,526,2021-07-03,曲中人
435,痴情闽南曲：旧时光里的悲伤故事,1043592,726,2021-07-02,知若
436,经典珍藏：青春二三事，漫漫岁月情,2418973,903,2021-07-02,知若
437,粤语怀旧 | 那段旧梦承载着我们的回忆,1377911,689,2021-07-02,潇湘烟雨
438,「港乐情怀」岁月如歌，粤听粤爱,449461,235,2021-07-02,醉看朦胧
439,粤语经典丨读不尽的岁月暗涌,333605,138,2021-07-02,李超
440,华语怀旧 | 岁月峥嵘，追忆金色年华,3359667,946,2021-07-02,是心动啊_
441,粤语回忆录 | 思绪如流，忆梦长存,818448,325,2021-07-02,是心动啊_
442,青春回忆杀·80后的卡带故事,16328035,7418,2021-07-02,念安娜
443,「忆童稚」过期小朋友歌单,22129,166,2021-07-01,大咩老丝
444,欧美经典：岁月留声，寻回故时旧曲,871729,2040,2021-07-01,我会梦见一只电子羊
445,粤语经典丨岁月如歌，往事如烟,371298,266,2021-07-01,如风
446,粤语经典｜时光荏苒，追忆峥嵘岁月,4111097,1694,2021-07-01,我会梦见一只电子羊
447,80后记忆：哼首情歌给从前,6801723,2924,2021-06-30,YDS
448,「FUNK & DISCO」跳着舞一路向西,281409,395,2021-06-30,大木
449,你是今生的欢喜，也是余生的四季。,2714,24,2021-06-30,赵悠伊
450,岁月留声机丨忘不掉的你，忘不掉的老歌,1981199,792,2021-06-30,窈窕魂泣
451,回忆录 | 流光携刻下的一张怀旧CD,819029,282,2021-06-30,心岛未晴_
452,回忆录 | 时光流影过 岁月擦身离,1908574,391,2021-06-30,心岛未晴_
453,纪念黄家驹：纵有千万曲，人间再无你,7425656,10550,2021-06-29,胖胖谢景行
454,党成立100周年：百年历程，始于红船,178633,312,2021-06-29,kiss-淆
455,[英文经典]朝花夕拾，重拾旧情怀,80774,77,2021-06-29,念猫
456,欧美金曲：思绪沉淀带你回忆经典,54606,85,2021-06-29,易水寒
457,70后情歌：经典粤语情怀，爱到发烧,800903,684,2021-06-29,消失的你
458,经典怀旧｜70后的爱情回忆录,1967717,1416,2021-06-29,神经刀
459,车载经典：岁月无声，流逝有忆,352620,307,2021-06-29,倚天无忌
460,KTV订阅｜回望年少时哼过的歌,2390872,1024,2021-06-28,陶晓禾
461,流金岁月丨繁华已尽，情怀依旧,988103,521,2021-06-27,如风
462,记忆深处丨当时每酣醉，不觉行路难,125185,70,2021-06-26,我想喝阔乐
463,聆听经典：轻轻杨柳风，悠悠桃花水,719714,578,2021-06-25,梅花傲雪
464,经典国语丨找寻曾经浅唱的足迹,545709,242,2021-06-25,陪我聊聊
465,怀旧金曲｜带你回到老歌时代,1975862,746,2021-06-25,烟寂寞
466,经典粤语｜追逐时代里的浪潮,454791,230,2021-06-25,大漠丽影
467,最经典｜那些压箱底的粤语老歌,519039,245,2021-06-25,明若晓溪
468,经典情歌：MP3里的校园记忆,6696249,3915,2021-06-25,予你情诗百首
469,时光匆匆二十年，还是忘不掉这些歌,1612876,849,2021-06-24,胖胖谢景行
470,港风袭来丨情浓至深，粤听粤上瘾,1081698,448,2021-06-24,小句号
471,怀旧闽南风：伤心难画，深情难赋,415803,352,2021-06-24,知若
472,青涩告白：我的温柔，只想让你都拥有,195181,86,2021-06-24,泪无情
473,怀旧粤语：倾听藏于时光缝隙的往事,3097560,1276,2021-06-24,晚凉
474,记忆女声 | 从前喜欢你，白云缠绕着蓝天,248936,138,2021-06-24,携手游人间
475,80情歌对唱丨深情词曲勾勒爱的形状,907550,641,2021-06-24,冰冻
476,粤语车载｜日子匆匆，记挂那时景象缤纷,696091,296,2021-06-23,苍狼啸月
477,经典怀旧女声：时过境迁，往事已成云烟,434474,408,2021-06-23,阿波
478,经典华语 | 不可磨灭的辉煌,2173811,813,2021-06-23,左耳
479,国语金曲 | 聆听经典，感悟人生,1556458,677,2021-06-23,信任
480,港风｜粤语里风吹过的时代,183430,128,2021-06-23,恋爱频率
481,粤语经典：光阴逝去的日子，越成长越懂歌词,705922,300,2021-06-23,不贞的爱欲
482,时光机｜留不住的青春，忘不了的回忆,35885,86,2021-06-19,THeS1_ky
483,古装神话剧：重温经典传奇故事,3301561,3942,2021-06-19,Yamballs
484,怀旧国语｜光阴似箭在弦，经典不灭在心,1788919,734,2021-06-19,音乐达人飘飘
485,70后情歌：任时光匆匆，唯音乐不变,3299392,2245,2021-06-18,潘多拉
486,钟情粤语：聆听70后港乐金曲,2463779,1251,2021-06-18,幽幽
487,70老歌集：那段旧梦承载着回忆,1235022,823,2021-06-18,温柔一刀
488,怀旧老歌：来自青春的售后服务,3160774,1762,2021-06-18,溺水的鱼
489,香港新秀歌唱大赛参赛歌曲集锦(1982~1995),114103,119,2021-06-17,黃小師
490,欧美经典｜时光再荏苒，金曲仍动听,415425,776,2021-06-17,恋汐
491,【闽南语怀旧】绵绵情意，情歌分你一半唱,989099,718,2021-06-17,影儿
492,闽南语：别具风味的文化情调,1380946,904,2021-06-17,游荡
493,闽南语：悦耳经典 ， 老曲歌谣,703439,379,2021-06-17,启程．蒹葭＂
494,时光沉淀 | 打开70年代尘封的记忆,1440180,1025,2021-06-17,小景
495,经典回忆录｜开启90后的青春旅程,7078392,3399,2021-06-17,叽里呱啦
496,影视金曲 | 岁月留音  回味青春的故事,1504592,801,2021-06-17,小星星
497,经典国语唱片｜重温记忆中的声音,1813126,827,2021-06-17,锦陌路
498,岁月催人老，老歌酿情怀,1418296,813,2021-06-17,大傻
499,金曲捞 | 回忆里最深刻的感触,989810,434,2021-06-17,後羿
500,华语回忆录丨投递一封摩杰座老唱片,37185,45,2021-06-17,摘下月亮给你
501,90后随身听丨倒带你的青春,2087161,1251,2021-06-17,小句号
502,经典对唱｜老情歌，唱着童话爱情,2729310,2541,2021-06-16,Wede
503,【80年代】粤语爱情故事，追忆痴心永远,1262064,688,2021-06-15,俏皮小龙女
504,80情歌：情到深处人孤独，爱至穷时尽沧桑,1116294,715,2021-06-15,酷小毅
505,闽南经典 | 清新悦耳，魅力乡音,1129703,571,2021-06-15,至尊宝
506,粤语留声机 | 用歌曲回顾流金岁月,1215936,434,2021-06-14,草莓啵啵子
507,粤语对唱｜一对寂寞心，携手唱情歌,14203757,14161,2021-06-14,Wede
508,经典港风 | 染指流年，重温老歌韵律,2850124,1002,2021-06-13,是心动啊_
509,一键畅听不停歇：百听不腻，情迷粤语,4290841,2700,2021-06-13,咸鱼大饼干
510,〖欧美经典〗时光浪潮积淀的瑰宝,72766,132,2021-06-13,EvilMoon_
511,岁月留声机 | 找寻你的青春记忆,9919005,2691,2021-06-12,顾一白
512,光阴的故事：青春无悔，把岁月唱成歌,2440566,733,2021-06-12,小摇椅
513,粤语情怀丨重温往日歌，再忆当年情,5374802,2720,2021-06-11,往事清零
514,粤语经典300首：戳痛记忆的弦,27643879,13828,2021-06-11,乐潮
515,经典影视｜穿梭千年，寻觅神话剧情,627692,843,2021-06-11,珺珺
516,【怀旧粤语】穿越时空，再现璀璨年代,375222,229,2021-06-11,潇湘夜雨
517,齐秦为他人创作的歌曲：青葱岁月 落寞深情,175612,194,2021-06-10,黃小師
518,〖绝代双骄〗意气风发，快意泯恩仇,10227,43,2021-06-10,Yamballs
519,经典影视：蓦然回首，时光从指缝间溜走,2106060,1513,2021-06-10,晚凉
520,荷东的士高丨激情奔放，回味经典,3922248,5665,2021-06-10,如风
521,粤语情歌丨重温旧时的珍贵,2458528,1360,2021-06-10,周林枫
522,欧美经典 | 萦绕在耳畔的回忆～,3029872,5031,2021-06-10,盗和
523,随机播放：50首经典粤语重温青春,11411809,5622,2021-06-10,叽里呱啦
524,车载粤语 | 岁月荏苒，走尽漫漫人生路,1253964,971,2021-06-09,是心动啊_
525,怀旧伤感：恋情已逝去，无奈相思梦,942603,305,2021-06-09,安小莘
526,车载国语 | 柔情岁月，经典女声永流传,318814,360,2021-06-09,吕蒙
527,再忆经典：青葱岁月，满满的回忆,717242,319,2021-06-09,安小莘
528,国语怀旧丨经典情怀，往事仿如咋日,2245053,1018,2021-06-09,bless
529,欧美经典｜流金岁月 配上简单的老歌,45168,57,2021-06-09,EvilMoon_
530,时光穿梭机 | 唤醒90后的记忆深处,8249517,4201,2021-06-08,是心动啊_
531,励志｜内心的淡定和从容，才是最美的风景,178129,188,2021-06-08,数咩咩
532,回忆录 | 聆听岁月回响，重温老歌魅力,8650070,2677,2021-06-08,是心动啊_
533,女神金曲集：沉淀着岁月的风情,1766596,1145,2021-06-08,荔禾禾
534,经典翻唱100首：动情演绎，复刻回忆,13602559,5440,2021-06-08,荔禾禾
535,粤语磁带：光景浮现，堆满心间,91593,89,2021-06-08,荔禾禾
536,怀旧粤语 | 岁月拾荒，捡起被遗忘的时光,5915705,1886,2021-06-07,某人举
537,经典英文 | 指尖流年，细品光阴,169277,218,2021-06-07,思念
538,金曲浅唱：百花地深处，住着老情人,338475,121,2021-06-07,貓爪
539,岁月流淌 | 走过十七岁那年的雨季,375524,160,2021-06-07,天使的守护
540,复古时光机｜带你重回粤语时代,1396366,682,2021-06-07,叽里呱啦
541,各国国歌丨乐曲奏响，响彻全世界的声音,26583,311,2021-06-06,晨曦Princess
542,90回忆丨你还记得年少听过的歌吗,542574,336,2021-06-06,SOM
543,暖色流年：荡漾红尘爱恨的粤语对唱,1553124,426,2021-06-04,知若
544,经典武侠OST：策马江湖梦，倚剑踏歌行,6157476,9655,2021-06-04,Yamballs
545,重返70年代 ：回忆里的华语歌声,1335769,1044,2021-06-04,天使の猫猫
546,华语经典 | 年华碎影，追忆峥嵘岁月,6362949,2716,2021-06-04,是心动啊_
547,日语ACG：不断加码的热血青春,25152,171,2021-06-04,我是火车人
548,时光机：重温昔日旋律，唤醒青春记忆,277050,163,2021-06-03,苏沐尘
549,记忆倒带：岁月留声，情怀永驻,13892875,6775,2021-06-03,Yamballs
550,怀旧闽南情：流年翻飞，岁月凝香,581158,436,2021-06-03,知若
551,金曲点唱机：追溯过去的旧时光,1171235,603,2021-06-03,知若
552,港式殇情歌：心事重重的分手序曲,595922,471,2021-06-03,知若
553,周星驰经典重温：怀念那个喜剧之王,33370,92,2021-06-03,默蓝色的爱
554,欧美影视经典 | 爱情，人类永恒的主题,26051,78,2021-06-03,静ぃ水中月
555,粤语回忆馆：倒带时空，回顾芳华,1674619,666,2021-06-03,轩宝
556,倒带时光机｜80后熟悉的老歌,14571196,7284,2021-06-03,你的美
557,金庸群侠传 | 江湖风云任驰骋,885298,755,2021-06-03,枫林疏影
558,粤语经典 | 思绪如潮，重温峥嵘岁月,7112422,3529,2021-06-02,是心动啊_
559,时光机：您有一份回忆清单，请查收,389995,229,2021-06-02,苏沐尘
560,黄金年代：追忆青春的时光机,3320830,828,2021-06-02,小句号
561,痴情闽南语：情难放，长相忆,743162,527,2021-06-02,荔禾禾
562,还记得吗？非主流时代的经典歌曲,353908,234,2021-06-01,睡啊
563,90后回忆录：MP3里的网络旋律,1892249,1162,2021-06-01,〖就是俊杰〗
564,闽南金曲: 韵律优美，情深意浓,1792359,1057,2021-06-01,至尊宝
565,90情怀：分别多年，你依然在我心,470835,247,2021-06-01,念猫
566,青春无悔｜九零后听不完的情歌回忆,287197,136,2021-06-01,易水寒
567,老歌新唱：让歌曲焕发第二次青春,2395093,1103,2021-06-01,果子姐
568,【80后情歌】最浪漫的事，是身边有你,1377991,758,2021-06-01,**
569,经典情歌 | 最怕是动情，唱着想起你,2178270,893,2021-06-01,天宇龙
570,我知道你也很想念 | 那些回不去的年少时光,358552,127,2021-05-31,风云
571,欧美经典丨掠过琴弦奏出往昔岁月,69099,88,2021-05-31,无心人
572,捡起散落在时光里的经典 · 欧美,18752,53,2021-05-31,极品臭豆腐
573,浓情金曲：温习记忆，思绪如流,303972,243,2021-05-31,荔禾禾
574,K歌金曲：唱一首泛黄的时光,412803,202,2021-05-31,荔禾禾
575,经典粤语：记忆彼端深藏的旋律,221720,104,2021-05-31,荔禾禾
576,经典国语｜藏于卡带里的18岁,6803382,2800,2021-05-31,你的美
577,岁月万花筒：时光飞逝，岁月如梭,37636,43,2021-05-31,冷暖自知
578,林俊贤影视金曲集：俊逸流光 贤才傲世,25358,28,2021-05-30,黃小師
579,怀旧旋律：90后清晰可见的青春痕迹,4318011,1855,2021-05-30,荔禾禾
580,80后珍藏集：抖落流年的沧桑,1266127,522,2021-05-30,荔禾禾
581,华语时光机：重拾青春一号指南,1068086,489,2021-05-30,轩宝
582,怀旧闽南风｜藏在旧磁带的絮语,555078,454,2021-05-30,小星星
583,粤语回忆册：重返青春的时光列车,5914572,1684,2021-05-30,轩宝
584,怀旧粤语：深情不改，一如昨日,714004,384,2021-05-30,荔禾禾
585,怀旧粤语 | 再回首，青葱岁月已远走,2119755,671,2021-05-29,半枫荷
586,老情歌｜卡带里的青涩年华,4150566,2318,2021-05-29,YDS
587,80后回忆杀｜给你一张过去的CD,14982070,4636,2021-05-28,予你情诗百首
588,90后经典 | 永不褪色的青春年华,17143608,9054,2021-05-28,Cinderella
589,娱乐反斗星｜最惊的现场，唱最靓的歌,211224,136,2021-05-28,黃小師
590,怀旧闽南风：时光清浅，韵味留香,631139,457,2021-05-28,知若
591,经典老歌｜大江东去，留念当年,959597,663,2021-05-28,欠你幸福
592,回味经典┃愿时光能缓，故人不散,276227,187,2021-05-28,十年饮冰
593,国语经典：让风尘刻划你的样子,760885,281,2021-05-28,蓝色泪
594,经典华语 | 时光已祛，光辉难褪,176514,61,2021-05-28,飘零落叶
595,粤语经典拾遗丨特别的歌给特别的你,4231899,1396,2021-05-28,晨曦Princess
596,粤语留声机：经典何处不相逢,1651683,668,2021-05-28,知若
597,欧美金曲：时光不褐色，经典永流传,649295,1251,2021-05-28,风吹麦浪_更新动漫中
598,8090专属 | 致年少的青春记忆,3262108,2771,2021-05-27,安稳余生
599,车载经典 | 昨日像那东流水，离我远去不可留,64052,98,2021-05-27,心偌沉溣
600,,1000,0,,
601,,1000,0,,
602,,1000,0,,
603,,1000,0,,
604,,1000,0,,
605,,1000,0,,
606,,1000,0,,
607,,1000,0,,
608,,1000,0,,
609,,1000,0,,
610,,1000,0,,
611,,1000,0,,
612,,1000,0,,
613,,1000,0,,
614,,1000,0,,
615,,1000,0,,
616,,1000,0,,
617,,1000,0,,
618,,1000,0,,
619,,1000,0,,
620,,1000,0,,
621,,1000,0,,
622,,1000,0,,
623,,1000,0,,
624,,1000,0,,
625,,1000,0,,
626,,1000,0,,
627,,1000,0,,
628,,1000,0,,
629,,1000,0,,
630,,1000,0,,
631,,1000,0,,
632,,1000,0,,
633,,1000,0,,
634,,1000,0,,
635,,1000,0,,
636,,1000,0,,
637,,1000,0,,
638,,1000,0,,
639,,1000,0,,
640,,1000,0,,
641,,1000,0,,
642,,1000,0,,
643,,1000,0,,
644,,1000,0,,
645,,1000,0,,
646,,1000,0,,
647,,1000,0,,
648,,1000,0,,
649,,1000,0,,
650,,1000,0,,
651,,1000,0,,
652,,1000,0,,
653,,1000,0,,
654,,1000,0,,
655,,1000,0,,
656,,1000,0,,
657,,1000,0,,
658,,1000,0,,
659,,1000,0,,
660,,1000,0,,
661,,1000,0,,
662,,1000,0,,
663,,1000,0,,
664,,1000,0,,
665,,1000,0,,
666,,1000,0,,
667,,1000,0,,
668,,1000,0,,
669,,1000,0,,
670,,1000,0,,
671,,1000,0,,
672,,1000,0,,
673,,1000,0,,
674,,1000,0,,
675,,1000,0,,
676,,1000,0,,
677,,1000,0,,
678,,1000,0,,
