,specialname,playcount,collectcount,publishtime,username
104,抖音老歌：涟漪荡醒了沉睡的往事,3411008,1275,2021-08-26,可怜的烟头
105,迈克尔·杰克逊绝对精选 | 用声音纪念经典回忆,333247,1007,2021-08-25,索尼音乐娱乐
106,英语音乐剧丨在睡梦中他对我歌唱,8207,102,2021-08-25,King
107,青春保鲜丨金曲珍藏的不打烊记忆,2105594,982,2021-08-24,轩宝
108,劲歌粤语｜复古音浪，拨动久违心弦,2555915,2485,2021-08-24,好歌推荐
109,粤听粤怀念，旅途车载更精彩,514935,350,2021-08-23,爱你没如果°
110,车载国语 | 回味经典，老歌听不厌,343795,297,2021-08-23,天马
111,车载闽南语｜侬本多情，我心尤在,1141887,1036,2021-08-23,藏锋
112,情系闽南：言语虽不懂，韵味却很入心,7150833,3434,2021-08-23,恋恋不忘
113,岁月峥嵘｜年华恋恋不舍，往事历历在目,597283,193,2021-08-23,太空收音机
114,港风粤韵｜时光流转，芳华依旧,2197088,1001,2021-08-23,精彩华辉
115,经典怀旧 | 留声机里有关于我们青春的印记,3295600,1233,2021-08-23,加贝小姐姐er
116,经典粤语歌：岁月流淌，情深绵长,138278,60,2021-08-21,知若
117,港乐留声机：时光涣散，殷殷暖曲,64415,31,2021-08-21,知若
118,闽南语老歌：世事变迁，恋恋不散,1247970,413,2021-08-21,知若
119,华语忆往昔：日月如梭，醇绵如酒,74428,37,2021-08-21,知若
120,粤语怀旧情：摇曳时光，寄存往事,256568,113,2021-08-21,知若
121,粤语回味馆：金曲珍藏，温情迷离,381687,169,2021-08-21,知若
122,粤式忆青春：深藏一束岁月情怀,76158,32,2021-08-21,知若
123,金曲点唱机：光阴入怀，芳华摇曳,69932,53,2021-08-21,知若
124,粤语老情怀：轻倚时光，慢读岁月,157082,58,2021-08-21,知若
125,港乐赋深情：回眸清影，岁月冥想,51787,28,2021-08-21,知若
126,经典时光机：浮生流年，荒芜往事,71702,24,2021-08-21,知若
127,经典徘徊卷：岁月无痕，青春悄然,81533,19,2021-08-21,知若
128,经典忆当初：记录着光阴里的流转,62269,29,2021-08-21,知若
129,港乐经典馆：拾忆流年，情怀依旧,130240,54,2021-08-21,知若
130,生活不止眼前的苟且，还有前任的喜帖,290468,207,2021-08-20,37号元素
131,【HiFi港乐】华纳23周年纪念精选大碟,551365,383,2021-08-20,日照影山
132,港乐怀旧街：时光潺潺，尘封记忆,65155,34,2021-08-20,知若
133,粤语典藏馆：流年寂寂，情思成册,84613,32,2021-08-20,知若
134,经典回忆录丨永远心动的17岁花季,1914055,658,2021-08-20,锦瑟
135,经典 | 岁月沉淀，唤起旧时光阴,994612,246,2021-08-20,锦瑟
136,粤语老歌：感情至深，爱从未改变,156613,65,2021-08-20,梦醒繁花落
137,经典怀旧页：岁月旖旎，弥漫深情,55746,29,2021-08-20,知若
138,粤语旧篇章：翻阅流年，漫步记忆,58791,22,2021-08-20,知若
139,粤乐集结号：往事纷纷，经典栖息,54409,31,2021-08-20,知若
140,港乐回忆站：旧情往事，染香流年,147842,60,2021-08-20,知若
141,粤试粤泪目：回味记忆的最初美好,54247,34,2021-08-19,LovelyKley
142,经典闺蜜派对：KTV里的老旧情怀,52085,27,2021-08-19,LovelyKley
143,经典朝夕回味：用清晨迎接向往,38114,20,2021-08-19,LovelyKley
144,回梦经典语录：耳朵间的五味情绪,22933,32,2021-08-19,LovelyKley
145,粤式经典风：回味车间里的美好,23046,22,2021-08-19,LovelyKley
146,经典语录集：敬那些奔波劳碌的年华,50615,37,2021-08-19,LovelyKley
147,粤式经典寻味：怀旧滤色匆匆相拥,60868,25,2021-08-19,LovelyKley
148,粤式微醺：经典芳华里的陈年酿酒,41646,28,2021-08-19,LovelyKley
149,经典眼帘回放：抚照在脑海里的柔光,29649,24,2021-08-19,LovelyKley
150,时光沉浸式：粤来粤醉的解忧音符,40813,27,2021-08-19,LovelyKley
151,粤语休闲室：浮现经典的琐碎音符,25797,15,2021-08-19,LovelyKley
152,经典轮番回味：照亮岁月里的闪光点,54442,29,2021-08-19,LovelyKley
153,秋季经典番：凉意渐浓的粤式音符,34533,32,2021-08-19,LovelyKley
154,粤式光辉年华：经典轮番的岁月音符,37758,17,2021-08-19,LovelyKley
155,粤式闲暇频道：你是今日经典观众,9343,11,2021-08-19,LovelyKley
156,驾驶经典粤风：赏岁月的景点观光,18570,23,2021-08-19,LovelyKley
157,粤式清新享：旅途车上的经典语录,12203,13,2021-08-19,LovelyKley
158,缠绵粤式经典：倾述时光的岁月情绪,16441,13,2021-08-19,LovelyKley
159,粤式度假游：满怀如歌的青葱岁月,22704,14,2021-08-19,LovelyKley
160,时光倒流！那些脑海里的黑白频道,7751,25,2021-08-19,LovelyKley
161,经典回忆馆：旧情痴缠的粤语对唱,1298718,248,2021-08-19,知若
162,粤语专属频道：纪念逝去的青春芳华,905351,238,2021-08-19,LovelyKley
163,粤式放空赏：经典回味的治愈音药,489725,153,2021-08-19,LovelyKley
164,宅家听经典：耳间熟悉的岁月旋律,399750,135,2021-08-19,LovelyKley
165,心宜阅经典：带走岁月如歌的老情怀,142070,54,2021-08-19,LovelyKley
166,青葱岁月歌：粤式经典里的祈祷心事,135903,43,2021-08-19,LovelyKley
167,经典回味 | 似水流年，粤听粤啱听,400475,137,2021-08-19,锦瑟
168,经典脑海回放：画面浮现的粤式情怀,61244,15,2021-08-19,LovelyKley
169,华语经典录：染指流年，望穿你我,382906,88,2021-08-19,知若
170,经典柔光滤镜：黑白映像里的璀璨,19260,18,2021-08-19,LovelyKley
171,唱响经典语录：KTV里的粤语岁月,77788,30,2021-08-19,LovelyKley
172,国语经典｜年华难留，时光易损,127881,91,2021-08-18,热歌淘金器
173,粤语心事厅：今日份温柔经典已售完,54651,28,2021-08-18,LovelyKley
174,粤语怀旧街：温柔治愈的琐碎年华,71273,28,2021-08-18,LovelyKley
175,经典怀旧向：80后的专属情歌,10879744,4338,2021-08-18,湮芜ㄨ落翼
176,「经典华语情歌」 那些属于八零后的回忆,2563181,1302,2021-08-18,封尘
177,90回忆杀：哪一首情歌是你的青春,6296023,2528,2021-08-18,畅游人
178,致90后：告别时光，匆匆那年,1701006,487,2021-08-18,圣
179,国语经典赏：灵魂逍遥的沧海岁月,306498,107,2021-08-18,LovelyKley
180,粤式经典语录：时光背面的芳华正茂,206741,84,2021-08-18,LovelyKley
181,情感粤语频道！涌动内心的神偷岁月,385182,70,2021-08-18,LovelyKley
182,经典Hi-Res｜极致原音，岁月独白,1189587,894,2021-08-17,Wede
183,华语怀旧：昔日被时光掩盖的回忆,25492,22,2021-08-17,星云LQ
184,经典粤语金曲，老歌中的战斗机,2057847,508,2021-08-17,曲中人
185,车载经典：苍绿岁月，落花往事,120898,121,2021-08-17,知若
186,粤语留声机：年华若素，记忆翻飞,467474,124,2021-08-17,知若
